text	code	workerid	probid	subid	line	indent
declare string variable s	string s;	54	20A	47849152	0	0
declare short int sz	short int sz;	54	20A	47849152	1	0
declare boolean called flag = false	bool flag = false;	54	20A	47849152	2	0
	int main() {	54	20A	47849152	3	0
read s	cin >> s;	54	20A	47849152	4	1
for integer i = length of s - 1 to 0 inclusive counting down	for (int i = s.size() - 1; i >= 0; i--) {	54	20A	47849152	5	1
if s[i] != '/'	if (s[i] != '/') {	54	20A	47849152	6	2
sz = i	sz = i;	54	20A	47849152	7	3
break the loop	break;	54	20A	47849152	8	3
	}	54	20A	47849152	9	2
	}	54	20A	47849152	10	1
for i = 0 to sz inclusive	for (int i = 0; i <= sz; i++) {	54	20A	47849152	11	1
if flag = false and s[i] = '/'	if (flag == false && s[i] == '/') {	54	20A	47849152	12	2
set flag to true	flag = true;	54	20A	47849152	13	3
print s[i]	cout << s[i];	54	20A	47849152	14	3
else if s[i] != '/'	} else if (s[i] != '/') {	54	20A	47849152	15	2
set flag to false	flag = false;	54	20A	47849152	16	3
print s[i]	cout << s[i];	54	20A	47849152	17	3
	}	54	20A	47849152	18	2
	}	54	20A	47849152	19	1
print '\n'	cout << '\n';	54	20A	47849152	20	1
	return 0;	54	20A	47849152	21	1
	}	54	20A	47849152	22	0
	int main() {	54	20A	44242036	0	0
let a be array of chars of length 110	char a[110];	54	20A	44242036	1	1
len, i, j = integers	int len, i, j;	54	20A	44242036	2	1
read a	cin >> a;	54	20A	44242036	3	1
len = length of a	len = strlen(a);	54	20A	44242036	4	1
for i = 0 to len exclusive	for (i = 1, j = 0; i < len; i++) {	54	20A	44242036	5	1
if a[j] != '/' or a[i] != '/' increment j and set a[j] to a[i]	if (a[j] != '/' || a[i] != '/') { a[++j] = a[i]; }	54	20A	44242036	6	2
	}	54	20A	44242036	7	1
decrement j while j > 0 and a[j] == '/'	while (j > 0 && a[j] == '/') { j--; }	54	20A	44242036	8	1
set a[j + 1] to "\0"	a[j + 1] = '\0';	54	20A	44242036	9	1
print a[i] in the loop from 0 while a[i] is not equal to "\0"	for (i = 0; a[i] != '\0'; i++) cout << a[i];	54	20A	44242036	10	1
print end of line	cout << endl;	54	20A	44242036	11	1
	return 0;	54	20A	44242036	12	1
	}	54	20A	44242036	13	0
let eps be constant long double = 1e-7	const long double eps = 1e-7;	54	20A	46375220	0	0
set constant integer inf to 1000000010	const int inf = 1000000010;	54	20A	46375220	1	0
set constant integer mod to 1000000007	const int mod = 1000000007;	54	20A	46375220	2	0
set constant integer MAXN to 100010	const int MAXN = 100010;	54	20A	46375220	3	0
declare strings called s and t	string s, t;	54	20A	46375220	4	0
	int main() {	54	20A	46375220	5	0
read input into s	getline(cin, s);	54	20A	46375220	6	1
set value of t to s[0]	t = s[0];	54	20A	46375220	7	1
for integer i = 1 to length of s exclusive	for (int i = 1; i < s.size(); i++) {	54	20A	46375220	8	1
if s[i] == '/' and s[i - 1] is equal to '/' continue the loop	if (s[i] == '/' && s[i - 1] == '/') continue;	54	20A	46375220	9	2
increase t by s[i]	t += s[i];	54	20A	46375220	10	2
	}	54	20A	46375220	11	1
if last element of t is equal to '/', set t to t.substr(0, t.size() - 1)	if (t[t.size() - 1] == '/') t = t.substr(0, t.size() - 1);	54	20A	46375220	12	1
if t is an empty string set t to "/"	if (t == "") t = "/";	54	20A	46375220	13	1
print t and a new line	cout << t << endl;	54	20A	46375220	14	1
	return 0;	54	20A	46375220	15	1
	}	54	20A	46375220	16	0
create constant long double eps with eps = 1e-7	const long double eps = 1e-7;	01	20A	46375220	0	0
creat constant integer inf with inf = 1000000010	const int inf = 1000000010;	01	20A	46375220	1	0
create constant integer mod with mod = 1000000007	const int mod = 1000000007;	01	20A	46375220	2	0
create constant integer MAXN with MAXN = 100010	const int MAXN = 100010;	01	20A	46375220	3	0
create strings s, t	string s, t;	01	20A	46375220	4	0
	int main() {	01	20A	46375220	5	0
read line from cin to s	getline(cin, s);	01	20A	46375220	6	1
set t to s[0]	t = s[0];	01	20A	46375220	7	1
for i = 1 to size of s	for (int i = 1; i < s.size(); i++) {	01	20A	46375220	8	1
if s[i] is '/' and s[i-1] is '/', break current loop iteration	if (s[i] == '/' && s[i - 1] == '/') continue;	01	20A	46375220	9	2
increment t by s[i]	t += s[i];	01	20A	46375220	10	2
	}	01	20A	46375220	11	1
